"","id","name","prefix","r","g","b","alp","is_trans","hex","alpha","rgb","h","s","v"
"1",-1,"Unknown","rgba","0","51","178","1","f","#0033B2",0,"0,51,178",0.618913857677903,1,0.698039215686274
"2",0,"Black","rgba","5","19","29","1","f","#05131D",0,"5,19,29",0.569444444444444,0.827586206896552,0.113725490196078
"3",1,"Blue","rgba","0","85","191","1","f","#0055BF",0,"0,85,191",0.592495636998255,1,0.749019607843137
"4",2,"Green","rgba","35","120","65","1","f","#237841",0,"35,120,65",0.392156862745098,0.708333333333333,0.470588235294118
"5",3,"Dark Turquoise","rgba","0","143","155","1","f","#008F9B",0,"0,143,155",0.512903225806452,1,0.607843137254902
"6",4,"Red","rgba","201","26","9","1","f","#C91A09",0,"201,26,9",0.0147569444444444,0.955223880597015,0.788235294117647
"7",5,"Dark Pink","rgba","200","112","160","1","f","#C870A0",0,"200,112,160",0.909090909090909,0.44,0.784313725490196
"8",6,"Brown","rgba","88","57","39","1","f","#583927",0,"88,57,39",0.0612244897959184,0.556818181818182,0.345098039215686
"9",7,"Light Gray","rgba","155","161","157","1","f","#9BA19D",0,"155,161,157",0.388888888888889,0.0372670807453417,0.631372549019608
"10",8,"Dark Gray","rgba","109","110","92","1","f","#6D6E5C",0,"109,110,92",0.175925925925926,0.163636363636364,0.431372549019608
"11",9,"Light Blue","rgba","180","210","227","1","f","#B4D2E3",0,"180,210,227",0.560283687943262,0.20704845814978,0.890196078431372
"12",10,"Bright Green","rgba","75","159","74","1","f","#4B9F4A",0,"75,159,74",0.331372549019608,0.534591194968553,0.623529411764706
"13",11,"Light Turquoise","rgba","85","165","175","1","f","#55A5AF",0,"85,165,175",0.518518518518518,0.514285714285714,0.686274509803922
"14",12,"Salmon","rgba","242","112","94","1","f","#F2705E",0,"242,112,94",0.0202702702702703,0.611570247933884,0.949019607843137
"15",13,"Pink","rgba","252","151","172","1","f","#FC97AC",0,"252,151,172",0.965346534653465,0.400793650793651,0.988235294117647
"16",14,"Yellow","rgba","242","205","55","1","f","#F2CD37",0,"242,205,55",0.133689839572193,0.772727272727273,0.949019607843137
"17",15,"White","rgba","255","255","255","1","f","#FFFFFF",0,"255,255,255",0,0,1
"18",17,"Light Green","rgba","194","218","184","1","f","#C2DAB8",0,"194,218,184",0.284313725490196,0.155963302752294,0.854901960784314
"19",18,"Light Yellow","rgba","251","230","150","1","f","#FBE696",0,"251,230,150",0.132013201320132,0.402390438247012,0.984313725490196
"20",19,"Tan","rgba","228","205","158","1","f","#E4CD9E",0,"228,205,158",0.111904761904762,0.307017543859649,0.894117647058824
"21",20,"Light Violet","rgba","201","202","226","1","f","#C9CAE2",0,"201,202,226",0.66,0.110619469026549,0.886274509803922
"22",21,"Glow In Dark Opaque","rgba","212","213","201","1","f","#D4D5C9",0,"212,213,201",0.180555555555555,0.0563380281690141,0.835294117647059
"23",22,"Purple","rgba","129","0","123","1","f","#81007B",0,"129,0,123",0.841085271317829,1,0.505882352941176
"24",23,"Dark Blue-Violet","rgba","32","50","176","1","f","#2032B0",0,"32,50,176",0.645833333333333,0.818181818181818,0.690196078431373
"25",25,"Orange","rgba","254","138","24","1","f","#FE8A18",0,"254,138,24",0.0826086956521739,0.905511811023622,0.996078431372549
"26",26,"Magenta","rgba","146","57","120","1","f","#923978",0,"146,57,120",0.882022471910112,0.60958904109589,0.572549019607843
"27",27,"Lime","rgba","187","233","11","1","f","#BBE90B",0,"187,233,11",0.201201201201201,0.952789699570815,0.913725490196078
"28",28,"Dark Tan","rgba","149","138","115","1","f","#958A73",0,"149,138,115",0.112745098039216,0.228187919463087,0.584313725490196
"29",29,"Bright Pink","rgba","228","173","200","1","f","#E4ADC8",0,"228,173,200",0.918181818181818,0.241228070175439,0.894117647058824
"30",30,"Medium Lavender","rgba","172","120","186","1","f","#AC78BA",0,"172,120,186",0.797979797979798,0.354838709677419,0.729411764705882
"31",31,"Lavender","rgba","225","213","237","1","f","#E1D5ED",0,"225,213,237",0.75,0.10126582278481,0.929411764705882
"32",32,"Trans-Black IR Lens","rgba","99","95","82","1","t","#635F52",0.8,"99,95,82",0.127450980392157,0.171717171717172,0.388235294117647
"33",33,"Trans-Dark Blue","rgba","0","32","160","1","t","#0020A0",0.8,"0,32,160",0.633333333333333,1,0.627450980392157
"34",34,"Trans-Green","rgba","132","182","141","1","t","#84B68D",0.8,"132,182,141",0.363333333333333,0.274725274725275,0.713725490196078
"35",35,"Trans-Bright Green","rgba","217","228","167","1","t","#D9E4A7",0.8,"217,228,167",0.19672131147541,0.267543859649123,0.894117647058824
"36",36,"Trans-Red","rgba","201","26","9","1","t","#C91A09",0.8,"201,26,9",0.0147569444444444,0.955223880597015,0.788235294117647
"37",40,"Trans-Black","rgba","99","95","82","1","t","#635F52",0.8,"99,95,82",0.127450980392157,0.171717171717172,0.388235294117647
"38",41,"Trans-Light Blue","rgba","174","239","236","1","t","#AEEFEC",0.8,"174,239,236",0.492307692307692,0.271966527196653,0.937254901960784
"39",42,"Trans-Neon Green","rgba","248","241","132","1","t","#F8F184",0.8,"248,241,132",0.156609195402299,0.467741935483871,0.972549019607843
"40",43,"Trans-Very Lt Blue","rgba","193","223","240","1","t","#C1DFF0",0.8,"193,223,240",0.560283687943262,0.195833333333333,0.941176470588235
"41",45,"Trans-Dark Pink","rgba","223","102","149","1","t","#DF6695",0.8,"223,102,149",0.935261707988981,0.542600896860987,0.874509803921569
"42",46,"Trans-Yellow","rgba","245","205","47","1","t","#F5CD2F",0.8,"245,205,47",0.132996632996633,0.808163265306122,0.96078431372549
"43",47,"Trans-Clear","rgba","252","252","252","1","t","#FCFCFC",0.8,"252,252,252",0,0,0.988235294117647
"44",52,"Trans-Purple","rgba","165","165","203","1","t","#A5A5CB",0.8,"165,165,203",0.666666666666667,0.187192118226601,0.796078431372549
"45",54,"Trans-Neon Yellow","rgba","218","176","0","1","t","#DAB000",0.8,"218,176,0",0.134556574923547,1,0.854901960784314
"46",57,"Trans-Neon Orange","rgba","255","128","13","1","t","#FF800D",0.8,"255,128,13",0.0792011019283747,0.949019607843137,1
"47",60,"Chrome Antique Brass","rgba","100","90","76","1","f","#645A4C",0,"100,90,76",0.0972222222222223,0.24,0.392156862745098
"48",61,"Chrome Blue","rgba","108","150","191","1","f","#6C96BF",0,"108,150,191",0.582329317269076,0.43455497382199,0.749019607843137
"49",62,"Chrome Green","rgba","60","179","113","1","f","#3CB371",0,"60,179,113",0.407563025210084,0.664804469273743,0.701960784313725
"50",63,"Chrome Pink","rgba","170","77","142","1","f","#AA4D8E",0,"170,77,142",0.883512544802867,0.547058823529412,0.666666666666667
"51",64,"Chrome Black","rgba","27","42","52","1","f","#1B2A34",0,"27,42,52",0.566666666666667,0.480769230769231,0.203921568627451
"52",68,"Very Light Orange","rgba","243","207","155","1","f","#F3CF9B",0,"243,207,155",0.0984848484848485,0.362139917695473,0.952941176470588
"53",69,"Light Purple","rgba","205","98","152","1","f","#CD6298",0,"205,98,152",0.91588785046729,0.521951219512195,0.803921568627451
"54",70,"Reddish Brown","rgba","88","42","18","1","f","#582A12",0,"88,42,18",0.0571428571428571,0.795454545454546,0.345098039215686
"55",71,"Light Bluish Gray","rgba","160","165","169","1","f","#A0A5A9",0,"160,165,169",0.574074074074074,0.0532544378698225,0.662745098039216
"56",72,"Dark Bluish Gray","rgba","108","110","104","1","f","#6C6E68",0,"108,110,104",0.222222222222222,0.0545454545454546,0.431372549019608
"57",73,"Medium Blue","rgba","90","147","219","1","f","#5A93DB",0,"90,147,219",0.593023255813954,0.589041095890411,0.858823529411765
"58",74,"Medium Green","rgba","115","220","161","1","f","#73DCA1",0,"115,220,161",0.406349206349206,0.477272727272727,0.862745098039216
"59",75,"Speckle Black-Copper","rgba","0","0","0","1","f","#000000",0,"0,0,0",0,0,0
"60",76,"Speckle DBGray-Silver","rgba","99","95","97","1","f","#635F61",0,"99,95,97",0.916666666666667,0.0404040404040404,0.388235294117647
"61",77,"Light Pink","rgba","254","204","207","1","f","#FECCCF",0,"254,204,207",0.99,0.196850393700787,0.996078431372549
"62",78,"Light Flesh","rgba","246","215","179","1","f","#F6D7B3",0,"246,215,179",0.0895522388059702,0.272357723577236,0.964705882352941
"63",79,"Milky White","rgba","255","255","255","1","f","#FFFFFF",0,"255,255,255",0,0,1
"64",80,"Metallic Silver","rgba","165","169","180","1","f","#A5A9B4",0,"165,169,180",0.622222222222222,0.0833333333333333,0.705882352941177
"65",81,"Metallic Green","rgba","137","155","95","1","f","#899B5F",0,"137,155,95",0.216666666666667,0.387096774193548,0.607843137254902
"66",82,"Metallic Gold","rgba","219","172","52","1","f","#DBAC34",0,"219,172,52",0.119760479041916,0.762557077625571,0.858823529411765
"67",84,"Medium Dark Flesh","rgba","204","112","42","1","f","#CC702A",0,"204,112,42",0.0720164609053498,0.794117647058824,0.8
"68",85,"Dark Purple","rgba","63","54","145","1","f","#3F3691",0,"63,54,145",0.683150183150183,0.627586206896552,0.568627450980392
"69",86,"Dark Flesh","rgba","124","80","58","1","f","#7C503A",0,"124,80,58",0.0555555555555556,0.532258064516129,0.486274509803922
"70",89,"Royal Blue","rgba","76","97","219","1","f","#4C61DB",0,"76,97,219",0.642191142191142,0.65296803652968,0.858823529411765
"71",92,"Flesh","rgba","208","145","104","1","f","#D09168",0,"208,145,104",0.0657051282051282,0.5,0.815686274509804
"72",100,"Light Salmon","rgba","254","186","189","1","f","#FEBABD",0,"254,186,189",0.992647058823529,0.267716535433071,0.996078431372549
"73",110,"Violet","rgba","67","84","163","1","f","#4354A3",0,"67,84,163",0.637152777777778,0.588957055214724,0.63921568627451
"74",112,"Blue-Violet","rgba","104","116","202","1","f","#6874CA",0,"104,116,202",0.64625850340136,0.485148514851485,0.792156862745098
"75",114,"Glitter Trans-Dark Pink","rgba","223","102","149","1","t","#DF6695",0.8,"223,102,149",0.935261707988981,0.542600896860987,0.874509803921569
"76",115,"Medium Lime","rgba","199","210","60","1","f","#C7D23C",0,"199,210,60",0.178888888888889,0.714285714285714,0.823529411764706
"77",117,"Glitter Trans-Clear","rgba","255","255","255","1","t","#FFFFFF",0.8,"255,255,255",0,0,1
"78",118,"Aqua","rgba","179","215","209","1","f","#B3D7D1",0,"179,215,209",0.472222222222222,0.167441860465116,0.843137254901961
"79",120,"Light Lime","rgba","217","228","167","1","f","#D9E4A7",0,"217,228,167",0.19672131147541,0.267543859649123,0.894117647058824
"80",125,"Light Orange","rgba","249","186","97","1","f","#F9BA61",0,"249,186,97",0.0975877192982456,0.610441767068273,0.976470588235294
"81",129,"Glitter Trans-Purple","rgba","165","165","203","1","t","#A5A5CB",0.8,"165,165,203",0.666666666666667,0.187192118226601,0.796078431372549
"82",132,"Speckle Black-Silver","rgba","0","0","0","1","f","#000000",0,"0,0,0",0,0,0
"83",133,"Speckle Black-Gold","rgba","0","0","0","1","f","#000000",0,"0,0,0",0,0,0
"84",134,"Copper","rgba","174","122","89","1","f","#AE7A59",0,"174,122,89",0.0647058823529412,0.488505747126437,0.682352941176471
"85",135,"Pearl Light Gray","rgba","156","163","168","1","f","#9CA3A8",0,"156,163,168",0.569444444444445,0.0714285714285713,0.658823529411765
"86",137,"Metal Blue","rgba","121","136","161","1","f","#7988A1",0,"121,136,161",0.604166666666667,0.248447204968944,0.631372549019608
"87",142,"Pearl Light Gold","rgba","220","188","129","1","f","#DCBC81",0,"220,188,129",0.108058608058608,0.413636363636364,0.862745098039216
"88",143,"Trans-Medium Blue","rgba","207","226","247","1","t","#CFE2F7",0.8,"207,226,247",0.5875,0.161943319838057,0.968627450980392
"89",148,"Pearl Dark Gray","rgba","87","88","87","1","f","#575857",0,"87,88,87",0.333333333333333,0.0113636363636363,0.345098039215686
"90",150,"Pearl Very Light Gray","rgba","171","173","172","1","f","#ABADAC",0,"171,173,172",0.416666666666668,0.0115606936416186,0.67843137254902
"91",151,"Very Light Bluish Gray","rgba","230","227","224","1","f","#E6E3E0",0,"230,227,224",0.0833333333333329,0.0260869565217392,0.901960784313726
"92",158,"Yellowish Green","rgba","223","238","165","1","f","#DFEEA5",0,"223,238,165",0.200913242009132,0.30672268907563,0.933333333333333
"93",178,"Flat Dark Gold","rgba","180","132","85","1","f","#B48455",0,"180,132,85",0.0824561403508772,0.527777777777778,0.705882352941177
"94",179,"Flat Silver","rgba","137","135","136","1","f","#898788",0,"137,135,136",0.916666666666667,0.0145985401459854,0.537254901960784
"95",182,"Trans-Orange","rgba","240","143","28","1","t","#F08F1C",0.8,"240,143,28",0.0904088050314465,0.883333333333333,0.941176470588235
"96",183,"Pearl White","rgba","242","243","242","1","f","#F2F3F2",0,"242,243,242",0.333333333333333,0.00411522633744855,0.952941176470588
"97",191,"Bright Light Orange","rgba","248","187","61","1","f","#F8BB3D",0,"248,187,61",0.112299465240642,0.754032258064516,0.972549019607843
"98",212,"Bright Light Blue","rgba","159","195","233","1","f","#9FC3E9",0,"159,195,233",0.585585585585586,0.317596566523605,0.913725490196078
"99",216,"Rust","rgba","179","16","4","1","f","#B31004",0,"179,16,4",0.0114285714285714,0.977653631284916,0.701960784313725
"100",226,"Bright Light Yellow","rgba","255","240","58","1","f","#FFF03A",0,"255,240,58",0.153976311336717,0.772549019607843,1
"101",230,"Trans-Pink","rgba","228","173","200","1","t","#E4ADC8",0.8,"228,173,200",0.918181818181818,0.241228070175439,0.894117647058824
"102",232,"Sky Blue","rgba","125","191","221","1","f","#7DBFDD",0,"125,191,221",0.552083333333333,0.434389140271493,0.866666666666667
"103",236,"Trans-Light Purple","rgba","150","112","159","1","t","#96709F",0.8,"150,112,159",0.801418439716312,0.29559748427673,0.623529411764706
"104",272,"Dark Blue","rgba","10","52","99","1","f","#0A3463",0,"10,52,99",0.588014981273408,0.898989898989899,0.388235294117647
"105",288,"Dark Green","rgba","24","70","50","1","f","#184632",0,"24,70,50",0.427536231884058,0.657142857142857,0.274509803921569
"106",294,"Glow In Dark Trans","rgba","189","198","173","1","t","#BDC6AD",0.8,"189,198,173",0.226666666666667,0.126262626262626,0.776470588235294
"107",297,"Pearl Gold","rgba","170","127","46","1","f","#AA7F2E",0,"170,127,46",0.108870967741935,0.729411764705882,0.666666666666667
"108",308,"Dark Brown","rgba","53","33","0","1","f","#352100",0,"53,33,0",0.10377358490566,1,0.207843137254902
"109",313,"Maersk Blue","rgba","53","146","195","1","f","#3592C3",0,"53,146,195",0.557511737089202,0.728205128205128,0.764705882352941
"110",320,"Dark Red","rgba","114","14","15","1","f","#720E0F",0,"114,14,15",0.998333333333333,0.87719298245614,0.447058823529412
"111",321,"Dark Azure","rgba","7","139","201","1","f","#078BC9",0,"7,139,201",0.553264604810997,0.965174129353234,0.788235294117647
"112",322,"Medium Azure","rgba","54","174","191","1","f","#36AEBF",0,"54,174,191",0.520681265206813,0.717277486910995,0.749019607843137
"113",323,"Light Aqua","rgba","173","195","192","1","f","#ADC3C0",0,"173,195,192",0.477272727272727,0.112820512820513,0.764705882352941
"114",326,"Olive Green","rgba","155","154","90","1","f","#9B9A5A",0,"155,154,90",0.164102564102564,0.419354838709677,0.607843137254902
"115",334,"Chrome Gold","rgba","187","165","61","1","f","#BBA53D",0,"187,165,61",0.137566137566138,0.67379679144385,0.733333333333333
"116",335,"Sand Red","rgba","214","117","114","1","f","#D67572",0,"214,117,114",0.00499999999999998,0.467289719626168,0.83921568627451
"117",351,"Medium Dark Pink","rgba","247","133","177","1","f","#F785B1",0,"247,133,177",0.935672514619883,0.461538461538462,0.968627450980392
"118",366,"Earth Orange","rgba","250","156","28","1","f","#FA9C1C",0,"250,156,28",0.0960960960960961,0.888,0.980392156862745
"119",373,"Sand Purple","rgba","132","94","132","1","f","#845E84",0,"132,94,132",0.833333333333333,0.287878787878788,0.517647058823529
"120",378,"Sand Green","rgba","160","188","172","1","f","#A0BCAC",0,"160,188,172",0.404761904761905,0.148936170212766,0.737254901960784
"121",379,"Sand Blue","rgba","96","116","161","1","f","#6074A1",0,"96,116,161",0.615384615384615,0.403726708074534,0.631372549019608
"122",383,"Chrome Silver","rgba","224","224","224","1","f","#E0E0E0",0,"224,224,224",0,0,0.87843137254902
"123",450,"Fabuland Brown","rgba","182","123","80","1","f","#B67B50",0,"182,123,80",0.0702614379084967,0.56043956043956,0.713725490196078
"124",462,"Medium Orange","rgba","255","167","11","1","f","#FFA70B",0,"255,167,11",0.10655737704918,0.956862745098039,1
"125",484,"Dark Orange","rgba","169","85","0","1","f","#A95500",0,"169,85,0",0.0838264299802761,1,0.662745098039216
"126",503,"Very Light Gray","rgba","230","227","218","1","f","#E6E3DA",0,"230,227,218",0.125,0.0521739130434783,0.901960784313726
"127",1000,"Glow in Dark White","rgba","217","217","217","1","f","#D9D9D9",0,"217,217,217",0,0,0.850980392156863
"128",1001,"Medium Violet","rgba","147","145","228","1","f","#9391E4",0,"147,145,228",0.670682730923695,0.364035087719298,0.894117647058824
"129",1002,"Glitter Trans-Neon Green","rgba","192","245","0","1","t","#C0F500",0.8,"192,245,0",0.202721088435374,1,0.96078431372549
"130",1003,"Glitter Trans-Light Blue","rgba","104","188","197","1","t","#68BCC5",0.8,"104,188,197",0.516129032258065,0.472081218274112,0.772549019607843
"131",1004,"Trans Flame Yellowish Orange","rgba","252","183","109","1","t","#FCB76D",0.8,"252,183,109",0.0862470862470863,0.567460317460317,0.988235294117647
"132",1005,"Trans Fire Yellow","rgba","251","232","144","1","t","#FBE890",0.8,"251,232,144",0.137071651090343,0.426294820717131,0.984313725490196
"133",1006,"Trans Light Royal Blue","rgba","180","212","247","1","t","#B4D4F7",0.8,"180,212,247",0.587064676616915,0.271255060728745,0.968627450980392
"134",1007,"Reddish Lilac","rgba","142","85","151","1","f","#8E5597",0,"142,85,151",0.810606060606061,0.437086092715232,0.592156862745098
"135",9999,"[No Color]","rgba","5","19","29","1","f","#05131D",0,"5,19,29",0.569444444444444,0.827586206896552,0.113725490196078
